"uid","email","age","product_name","product_type","quantity","purchase_price","purchase_date","purchase_address","long","lat"
"twru4t3oura5pcll4zfc4uwgiqbv","mzwmf@gmail.com",26,"TEREA PRPL WAVE 20S","unknown",2,30000,"2024-04-07","",110.435333994123,-0.772944942443175
"cpveofbmyjg2evw4mbyus03sae84","mjs5a@gmail.com",58,"B/P MANGGA HARUM MNS","makanan manis",2,10000,"2024-09-07","",110.435333994123,-0.772944942443175
"qaetaoouundmd4cwiusui725boxh","daec4@gmail.com",17,"CHUPA GUM FR11G","makanan manis",4,5500,"2024-04-18","",110.435333994123,-0.772944942443175
"bxgpeg6tx72l5y3kqljjqxtozgj3","f7nur@gmail.com",33,"INDOMIE RDG 91G","makanan pokok",2,3100,"2024-02-26","",110.435333994123,-0.772944942443175
"t7ayhf2rmdmwtlcaqb84zu6qy712","zod8c@gmail.com",28,"KANZER BAKSO HOT 55G","makanan gurih",4,9000,"2024-12-15","",110.435333994123,-0.772944942443175
"qaetaoouundmd4cwiusui725boxh","daec4@gmail.com",17,"CIMORY BLYC120G","soft drink",4,8500,"2024-04-08","",110.435333994123,-0.772944942443175
"xg2w9b1i6yiisolocaxewxa700iv","ewo9z@gmail.com",15,"GG SURYA 12","produk dewasa",3,27200,"2024-01-11","",110.435333994123,-0.772944942443175
"47moy42khdtvk7b600u0j3qm0py6","b995x@gmail.com",49,"TESSA FAC LOONEY TP3","personal hygiene",2,7500,"2024-12-26","",110.435333994123,-0.772944942443175
"xfwgql4j51qcjc1sjt1rdik71a78","b56z8@gmail.com",50,"OREO ORIGINAL 119.5G","makanan manis",1,10000,"2024-11-21","",110.435333994123,-0.772944942443175
"srzjk8lwssugcsyu0v1xc0nwj6ea","rjitx@gmail.com",40,"LEMNRL AIR600ML","minuman sehat",1,3700,"2024-07-17","",110.435333994123,-0.772944942443175
"a8ztv7irkenvn62qanuocil0yqp3","pa8uy@gmail.com",20,"GATSBY CLG. D/OCN. 175","personal hygiene",2,22000,"2024-03-03","",110.435333994123,-0.772944942443175
"8v00cbv633mysqmmrlt94drozwhu","yqx1m@gmail.com",29,"INDOMIE RDG 91G","makanan pokok",3,3100,"2024-12-05","",110.435333994123,-0.772944942443175
"e2ct0upmnkow2vqrvkd057gn3cc6","ocid4@gmail.com",26,"OREO ORIGINAL 119.5G","makanan manis",3,10000,"2024-01-01","",110.435333994123,-0.772944942443175
"qang8opojwa3ip5cry0ovhx9kqmt","o0qjx@gmail.com",13,"TEREA PRPL WAVE 20S","unknown",1,30000,"2024-04-10","",110.435333994123,-0.772944942443175
"xfwgql4j51qcjc1sjt1rdik71a78","b56z8@gmail.com",50,"OREO ORIGINAL 119.5G","makanan manis",1,10000,"2024-11-23","",110.435333994123,-0.772944942443175
"0ks7i43vthfxui9m6gzxk7npf1lj","elq3u@gmail.com",19,"LEMNRL AIR600ML","minuman sehat",4,3700,"2024-07-12","",110.435333994123,-0.772944942443175
"wzbw22pbz3kbsbyqm6uxga2owc1f","3kqwp@gmail.com",30,"LEMNRL AIR600ML","minuman sehat",4,3700,"2024-04-02","",110.435333994123,-0.772944942443175
"gexl3f65fb26kxxsie31q9wzn69a","vojjz@gmail.com",16,"IDM KCNG BUMBU 150G","makanan pokok",2,9900,"2024-01-24","",110.435333994123,-0.772944942443175
"7nprw6ffv83mod63rcoveky43hi7","5oxds@gmail.com",19,"RTE ONGR AY PDS","makanan gurih",3,10000,"2024-07-06","",110.435333994123,-0.772944942443175
"pg23ja0emj4heans6mn48ym0iwag","f4cvw@gmail.com",20,"KNZLER SNGLES ORG 65","makanan gurih",2,9000,"2024-11-01","",110.435333994123,-0.772944942443175
"4inmpxsuzxplqj9mzfxzy8qof2jn","1i3mx@gmail.com",26,"S.BRD TA POLO KEJU","makanan pokok",1,9000,"2024-02-21","",110.435333994123,-0.772944942443175
"xywl5mr5ovbbtfvcyri2wx7zdxv4","fdoyi@gmail.com",48,"SR TWR SPC","makanan pokok",3,15000,"2024-05-08","",110.435333994123,-0.772944942443175
"2xpmrk8fqzwjbgf8xfsl6r72pnv1","1x4ux@gmail.com",44,"KP POLOS","unknown",1,500,"2024-05-07","",110.435333994123,-0.772944942443175
"rbch7xggx3ftzrg601ryv8yqritv","6e0ee@gmail.com",34,"KUSUKA LH 60G","makanan gurih",2,6500,"2024-07-28","",110.435333994123,-0.772944942443175
"t7ayhf2rmdmwtlcaqb84zu6qy712","zod8c@gmail.com",28,"GATSBY CLG. D/OCN. 175","personal hygiene",3,22000,"2024-08-20","",110.435333994123,-0.772944942443175
"ahvund8ziiaue03iqvcw3ol0ii3s","zc991@gmail.com",26,"SQ GREENTEA 22G","makanan manis",4,13400,"2024-07-15","",110.435333994123,-0.772944942443175
"0u7kp3c9qi3vz0mqeo4nhm5r2u50","myld7@gmail.com",48,"CIMORY BLYC120G","soft drink",4,8500,"2024-12-04","",110.435333994123,-0.772944942443175
"672ck0dt9jg3kmrgr6tngy2lryfz","9y25u@gmail.com",30,"YUPI NEON 45G","makanan manis",3,5500,"2024-03-05","",110.435333994123,-0.772944942443175
"kebp50576plx38ymroy3vutd8i0i","4yaop@gmail.com",46,"IDM KCNG BUMBU 150G","makanan pokok",1,9900,"2024-12-15","",110.435333994123,-0.772944942443175
"z84rl5ykh4rriu9pzqb5ds1w3dij","ayqb9@gmail.com",26,"WETZ WIPES 30 GRNTEA","personal hygiene",3,17900,"2024-09-27","",110.435333994123,-0.772944942443175
"30e52pfy9r104jumf4ux85e50gjo","bx1vj@gmail.com",22,"INDOMIE RDG 91G","makanan pokok",3,3100,"2024-01-15","",110.435333994123,-0.772944942443175
"uehosw9qmansprysfyh9vltw4xh9","v7m9m@gmail.com",32,"POKKA GREEN TEA 450","soft drink",1,7300,"2024-02-23","",110.435333994123,-0.772944942443175
"v1xtlmqtnbq6quvl7nz64rjfnff1","cr2ft@gmail.com",40,"IDM KCNG BUMBU 150G","makanan pokok",3,9900,"2024-11-25","",110.435333994123,-0.772944942443175
"gtueph7xv8wdovbj6d56zlbzecrp","dftnq@gmail.com",58,"GATSBY CLG. D/OCN. 175","personal hygiene",3,22000,"2024-12-16","",110.435333994123,-0.772944942443175
"d7vxvf96uzl7t6nfuvnf91vd4vsw","fh871@gmail.com",33,"RTE ONGR AY PDS","makanan gurih",4,10000,"2024-04-25","",110.435333994123,-0.772944942443175
"z84rl5ykh4rriu9pzqb5ds1w3dij","ayqb9@gmail.com",26,"KANZER BAKSO HOT 55G","makanan gurih",3,9000,"2024-06-25","",110.435333994123,-0.772944942443175
"ethdc8qxde0tsbos4ksx7vlhtnq0","53ozl@gmail.com",45,"SQ GREENTEA 22G","makanan manis",2,13400,"2024-06-22","",110.435333994123,-0.772944942443175
"0mh6qnyrb8fw7pb2xbzqt7jht8yw","ccjf3@gmail.com",15,"FOREST PCH480ML","soft drink",3,9300,"2024-04-22","",110.435333994123,-0.772944942443175
"koks34l90bwkozi5ha1o1v9vd7ub","osdc8@gmail.com",25,"GATSBY CLG. D/OCN. 175","personal hygiene",2,22000,"2024-12-16","",110.435333994123,-0.772944942443175
"fixkggus2hdqkih02inqqn6l3ao8","bjpgu@gmail.com",22,"TEREA PRPL WAVE 20S","unknown",3,30000,"2024-10-15","",110.435333994123,-0.772944942443175
"xg2w9b1i6yiisolocaxewxa700iv","ewo9z@gmail.com",15,"SQ GREENTEA 22G","makanan manis",3,13400,"2024-05-12","",110.435333994123,-0.772944942443175
"z84rl5ykh4rriu9pzqb5ds1w3dij","ayqb9@gmail.com",26,"POKKA GRN TEA NS 450","minuman sehat",1,10200,"2024-07-28","",110.435333994123,-0.772944942443175
"qaetaoouundmd4cwiusui725boxh","daec4@gmail.com",17,"GD GCPN 250ML","soft drink",1,7700,"2024-04-30","",110.435333994123,-0.772944942443175
"01heb0ypurqn8xlb6v540y06g245","0ehma@gmail.com",12,"B/P MANGGA HARUM MNS","makanan manis",1,10000,"2024-07-08","",110.435333994123,-0.772944942443175
"twru4t3oura5pcll4zfc4uwgiqbv","mzwmf@gmail.com",26,"NIPISMADU 330ML","soft drink",1,3900,"2024-02-14","",110.435333994123,-0.772944942443175
"gexl3f65fb26kxxsie31q9wzn69a","vojjz@gmail.com",16,"BENG2 SHARE 10S","makanan manis",1,16400,"2024-09-17","",110.435333994123,-0.772944942443175
"vyir226cwerooobauling8ku912f","hwokt@gmail.com",52,"AQUA AIR MINERAL 1500","minuman sehat",4,6600,"2024-11-15","",110.435333994123,-0.772944942443175
"ef7sn8uzg1jpe0y7nfrjopmtodia","xy0ey@gmail.com",39,"GG SURYA CKT16","produk dewasa",3,36700,"2024-10-23","",110.435333994123,-0.772944942443175
"672ck0dt9jg3kmrgr6tngy2lryfz","9y25u@gmail.com",30,"KNZLER SNGLES ORG 65","makanan gurih",3,9000,"2024-05-22","",110.435333994123,-0.772944942443175
"9hda6rww52k45ctytvysf6iwrlf3","g4po5@gmail.com",47,"RTE ONGR AY PDS","makanan gurih",3,10000,"2024-11-23","",110.435333994123,-0.772944942443175
"56qpya2svaxre6he6yg8gz0r1dq0","y7oo9@gmail.com",51,"AQUA AIR MINERAL 600","minuman sehat",1,3500,"2024-04-26","",110.435333994123,-0.772944942443175
"0mh6qnyrb8fw7pb2xbzqt7jht8yw","ccjf3@gmail.com",15,"S.BRD TA CHOCO FLAT","makanan manis",4,10000,"2024-08-08","",110.435333994123,-0.772944942443175
"dowqcnhvf69c3b1ptm5108gddrnd","g5pyg@gmail.com",46,"FOREST PCH480ML","soft drink",1,9300,"2024-11-23","",110.435333994123,-0.772944942443175
"tcwwpk3gqsaefqrqcz8xipuqophb","evb4a@gmail.com",52,"GD GCPN 250ML","soft drink",4,7700,"2024-12-28","",110.435333994123,-0.772944942443175
"4e86rxrp43s6g6jqteb24n9ajw7t","ndqcd@gmail.com",31,"FOREST PCH480ML","soft drink",4,9300,"2024-08-11","",110.435333994123,-0.772944942443175
"wuuo35zll6vvvac382k04sp7yxh4","uy0k5@gmail.com",53,"WETZ WIPES 30 GRNTEA","personal hygiene",1,17900,"2024-05-27","",110.435333994123,-0.772944942443175
"xxyd7wme2uj5idclpystvujsl6u4","464sb@gmail.com",44,"S.BRD TA CHOCO FLAT","makanan manis",2,10000,"2024-01-16","",110.435333994123,-0.772944942443175
"wv4j1laqheilzb19cqvoavhucq5j","yxf35@gmail.com",45,"KP POLOS","unknown",2,500,"2024-08-19","",110.435333994123,-0.772944942443175
"672ck0dt9jg3kmrgr6tngy2lryfz","9y25u@gmail.com",30,"AQUA AIR MINERAL 1500","minuman sehat",2,6600,"2024-07-30","",110.435333994123,-0.772944942443175
"56qpya2svaxre6he6yg8gz0r1dq0","y7oo9@gmail.com",51,"KP POLOS","unknown",4,500,"2024-02-21","",110.435333994123,-0.772944942443175
"uehosw9qmansprysfyh9vltw4xh9","v7m9m@gmail.com",32,"POKKA GREEN TEA 450","soft drink",4,7300,"2024-09-06","",110.435333994123,-0.772944942443175
"tcwwpk3gqsaefqrqcz8xipuqophb","evb4a@gmail.com",52,"S.BRD TA CHOCO FLAT","makanan manis",1,10000,"2024-01-09","",110.435333994123,-0.772944942443175
"wuuo35zll6vvvac382k04sp7yxh4","uy0k5@gmail.com",53,"IDM KCNG BUMBU 150G","makanan pokok",1,9900,"2024-06-11","",110.435333994123,-0.772944942443175
"fv6lgjra9s792gnbp09lkw7p3zqm","0gr3p@gmail.com",56,"IDM KCNG BUMBU 150G","makanan pokok",4,9900,"2024-06-20","",110.435333994123,-0.772944942443175
"fixkggus2hdqkih02inqqn6l3ao8","bjpgu@gmail.com",22,"BENG2 SHARE 10S","makanan manis",1,16400,"2024-03-10","",110.435333994123,-0.772944942443175
"0mh6qnyrb8fw7pb2xbzqt7jht8yw","ccjf3@gmail.com",15,"SQ GREENTEA 22G","makanan manis",1,13400,"2024-05-18","",110.435333994123,-0.772944942443175
"7nprw6ffv83mod63rcoveky43hi7","5oxds@gmail.com",19,"YUPI NEON 45G","makanan manis",4,5500,"2024-09-02","",110.435333994123,-0.772944942443175
"gexl3f65fb26kxxsie31q9wzn69a","vojjz@gmail.com",16,"S.BRD TA CHOCO FLAT","makanan manis",3,10000,"2024-02-09","",110.435333994123,-0.772944942443175
"0u7kp3c9qi3vz0mqeo4nhm5r2u50","myld7@gmail.com",48,"INDOMIE RDG 91G","makanan pokok",4,3100,"2024-12-15","",110.435333994123,-0.772944942443175
"cpveofbmyjg2evw4mbyus03sae84","mjs5a@gmail.com",58,"INDF IC RB RD VLT55","makanan pokok",4,4500,"2024-02-15","",110.435333994123,-0.772944942443175
"tcwwpk3gqsaefqrqcz8xipuqophb","evb4a@gmail.com",52,"S.BRD TA POLO KEJU","makanan pokok",1,9000,"2024-08-31","",110.435333994123,-0.772944942443175
"frhq68x8azvprn7wt31k1kv3nmde","b8tfo@gmail.com",38,"ULTRA FC 250 ML","soft drink",4,7500,"2024-06-21","",110.435333994123,-0.772944942443175
"crmn2v76r4t243vhc4r6lxezkyda","8qv4x@gmail.com",14,"GATSBY CLG. D/OCN. 175","personal hygiene",4,22000,"2024-12-06","",110.435333994123,-0.772944942443175
"335q5od4zaa6uj60ghjfz8hngqt2","r0cb0@gmail.com",45,"IDM KCNG BUMBU 150G","makanan pokok",2,9900,"2024-03-10","",110.435333994123,-0.772944942443175
"mzu4vkyqh0hw20zlz7y9ig26r7ik","rslyl@gmail.com",21,"POKKA GREEN TEA 450","soft drink",2,7300,"2024-07-21","",110.435333994123,-0.772944942443175
"gqub83ya1kfjtrvqm2iwsk96misd","5cyl9@gmail.com",43,"RTE ONGR AY PDS","makanan gurih",1,10000,"2024-03-17","",110.435333994123,-0.772944942443175
"cpveofbmyjg2evw4mbyus03sae84","mjs5a@gmail.com",58,"KP POLOS","unknown",1,500,"2024-04-17","",110.435333994123,-0.772944942443175
"6aflsuc6dmwt928qlgmnwiicibjh","hlx5t@gmail.com",54,"CCBB STR STK 5S","makanan gurih",2,16800,"2024-02-22","",110.435333994123,-0.772944942443175
"pihm9lcwekrhvad7zi5cbd59rrbf","2sgd6@gmail.com",23,"B/P MANGGA HARUM MNS","makanan manis",3,10000,"2024-07-16","",110.435333994123,-0.772944942443175
"20a03ey7cnhxkyiqwgdza4py07r3","yfrc3@gmail.com",51,"CHUPA BELT 8G","makanan manis",3,3000,"2024-02-21","",110.435333994123,-0.772944942443175
"srzjk8lwssugcsyu0v1xc0nwj6ea","rjitx@gmail.com",40,"AQUA AIR MINERAL 600","minuman sehat",4,3500,"2024-06-29","",110.435333994123,-0.772944942443175
"wuuo35zll6vvvac382k04sp7yxh4","uy0k5@gmail.com",53,"OREO ORIGINAL 119.5G","makanan manis",2,10000,"2024-03-10","",110.435333994123,-0.772944942443175
"vyir226cwerooobauling8ku912f","hwokt@gmail.com",52,"GG SURYA 12","produk dewasa",4,27200,"2024-02-17","",110.435333994123,-0.772944942443175
"tcwwpk3gqsaefqrqcz8xipuqophb","evb4a@gmail.com",52,"CHUPA BELT 8G","makanan manis",3,3000,"2024-06-29","",110.435333994123,-0.772944942443175
"hl6mfdyjo32tjqnwujhsmc0b3gv0","9qk4s@gmail.com",23,"INDF IC RB RD VLT55","makanan pokok",1,4500,"2024-03-18","",110.435333994123,-0.772944942443175
"6aflsuc6dmwt928qlgmnwiicibjh","hlx5t@gmail.com",54,"FOREST PCH480ML","soft drink",3,9300,"2024-06-13","",110.435333994123,-0.772944942443175
"fixkggus2hdqkih02inqqn6l3ao8","bjpgu@gmail.com",22,"MD ALMOND RING","makanan manis",4,7500,"2024-12-06","",110.435333994123,-0.772944942443175
"gexl3f65fb26kxxsie31q9wzn69a","vojjz@gmail.com",16,"SR TWR SPC","makanan pokok",1,15000,"2024-04-10","",110.435333994123,-0.772944942443175
"t7ayhf2rmdmwtlcaqb84zu6qy712","zod8c@gmail.com",28,"S.BRD TA POLO KEJU","makanan pokok",2,9000,"2024-06-20","",110.435333994123,-0.772944942443175
"0u7kp3c9qi3vz0mqeo4nhm5r2u50","myld7@gmail.com",48,"S.BRD TA CHOCO FLAT","makanan manis",1,10000,"2024-02-06","",110.435333994123,-0.772944942443175
"9c6ya2j6jryuyowr5f1k7ze2ryn7","9c1i4@gmail.com",41,"ICHITAN MLK BRWN 300","soft drink",1,9900,"2024-11-25","",110.435333994123,-0.772944942443175
"2xpmrk8fqzwjbgf8xfsl6r72pnv1","1x4ux@gmail.com",44,"AQUA AIR MINERAL 600","minuman sehat",3,3500,"2024-07-31","",110.435333994123,-0.772944942443175
"8v00cbv633mysqmmrlt94drozwhu","yqx1m@gmail.com",29,"POKKA GRN TEA NS 450","minuman sehat",3,10200,"2024-11-22","",110.435333994123,-0.772944942443175
"wv4j1laqheilzb19cqvoavhucq5j","yxf35@gmail.com",45,"AQUA AIR MINERAL 1500","minuman sehat",4,6600,"2024-12-06","",110.435333994123,-0.772944942443175
"gmqu1r6xua0jx8udakik2y901yhr","8b6if@gmail.com",39,"OREO ORIGINAL 119.5G","makanan manis",1,10000,"2024-02-10","",110.435333994123,-0.772944942443175
"8v00cbv633mysqmmrlt94drozwhu","yqx1m@gmail.com",29,"IDM KCNG BUMBU 150G","makanan pokok",4,9900,"2024-11-14","",110.435333994123,-0.772944942443175
"259dl5lar0ja7ykc9exrz8htdnuj","0p7g2@gmail.com",28,"MD ALMOND RING","makanan manis",4,7500,"2024-08-08","",110.435333994123,-0.772944942443175
"ethdc8qxde0tsbos4ksx7vlhtnq0","53ozl@gmail.com",45,"CHUPA GUM FR11G","makanan manis",2,5500,"2024-04-07","",110.435333994123,-0.772944942443175
"0u7kp3c9qi3vz0mqeo4nhm5r2u50","myld7@gmail.com",48,"S.BRD TA POLO KEJU","makanan pokok",3,9000,"2024-07-28","",110.435333994123,-0.772944942443175
"20a03ey7cnhxkyiqwgdza4py07r3","yfrc3@gmail.com",51,"KANZER BAKSO HOT 55G","makanan gurih",3,9000,"2024-03-28","",110.435333994123,-0.772944942443175
"fixkggus2hdqkih02inqqn6l3ao8","bjpgu@gmail.com",22,"RTE ONGR AY PDS","makanan gurih",4,10000,"2024-10-30","",110.435333994123,-0.772944942443175
"ef7sn8uzg1jpe0y7nfrjopmtodia","xy0ey@gmail.com",39,"IDM KCNG BUMBU 150G","makanan pokok",1,9900,"2024-01-02","",110.435333994123,-0.772944942443175
"9wyrgfryz14ub5839tuc3a9mc4nv","khtu6@gmail.com",33,"GG SURYA CKT16","produk dewasa",2,36700,"2024-02-18","",110.435333994123,-0.772944942443175
"4e86rxrp43s6g6jqteb24n9ajw7t","ndqcd@gmail.com",31,"CCBB STR STK 5S","makanan gurih",2,16800,"2024-01-30","",110.435333994123,-0.772944942443175
"fixkggus2hdqkih02inqqn6l3ao8","bjpgu@gmail.com",22,"LEMNRL AIR600ML","minuman sehat",3,3700,"2024-08-31","",110.435333994123,-0.772944942443175
"crmn2v76r4t243vhc4r6lxezkyda","8qv4x@gmail.com",14,"S.BRD TA POLO KEJU","makanan pokok",1,9000,"2024-06-15","",110.435333994123,-0.772944942443175
"3w53lzc34nrgsyx24ux10mny64i8","qh47a@gmail.com",20,"NIPISMADU 330ML","soft drink",2,3900,"2024-10-12","",110.435333994123,-0.772944942443175
"a8ztv7irkenvn62qanuocil0yqp3","pa8uy@gmail.com",20,"GG SURYA CKT16","produk dewasa",4,36700,"2024-09-16","",110.435333994123,-0.772944942443175
"hl6mfdyjo32tjqnwujhsmc0b3gv0","9qk4s@gmail.com",23,"KP POLOS","unknown",3,500,"2024-07-07","",110.435333994123,-0.772944942443175
"x82c8ynwnhha0jreeliuskr41and","d7y2k@gmail.com",54,"ULTRA FC 250 ML","soft drink",4,7500,"2024-11-08","",110.435333994123,-0.772944942443175
"oji8g2pume1ii74px1qhew1hu8n7","vrr6a@gmail.com",30,"CIMORY BLYC120G","soft drink",3,8500,"2024-03-25","",110.435333994123,-0.772944942443175
"cpveofbmyjg2evw4mbyus03sae84","mjs5a@gmail.com",58,"KNZLR SGL GJ65G","makanan gurih",4,8900,"2024-08-28","",110.435333994123,-0.772944942443175
"02vqrhb6feqdh3y7njrjgks0oydl","3sm3h@gmail.com",25,"AQUA AIR MINERAL 600","minuman sehat",2,3500,"2024-04-01","",110.435333994123,-0.772944942443175
"fixkggus2hdqkih02inqqn6l3ao8","bjpgu@gmail.com",22,"S.BRD TA CHOCO FLAT","makanan manis",3,10000,"2024-04-01","",110.435333994123,-0.772944942443175
"01heb0ypurqn8xlb6v540y06g245","0ehma@gmail.com",12,"RTE ONGR AY PDS","makanan gurih",4,10000,"2024-04-12","",110.435333994123,-0.772944942443175
"frhq68x8azvprn7wt31k1kv3nmde","b8tfo@gmail.com",38,"CHUPA BELT 8G","makanan manis",2,3000,"2024-01-14","",110.435333994123,-0.772944942443175
"hvrlzw2bya8dxpnwr0uizcx4lvup","4juul@gmail.com",38,"RTE ONGR AY PDS","makanan gurih",1,10000,"2024-04-07","",110.435333994123,-0.772944942443175
"3w53lzc34nrgsyx24ux10mny64i8","qh47a@gmail.com",20,"ULTRA FC 250 ML","soft drink",3,7500,"2024-12-25","",110.435333994123,-0.772944942443175
"259dl5lar0ja7ykc9exrz8htdnuj","0p7g2@gmail.com",28,"BENG2 SHARE 10S","makanan manis",4,16400,"2024-01-18","",110.435333994123,-0.772944942443175
"hl6mfdyjo32tjqnwujhsmc0b3gv0","9qk4s@gmail.com",23,"IDM KCNG BUMBU 150G","makanan pokok",1,9900,"2024-02-13","",110.435333994123,-0.772944942443175
"335q5od4zaa6uj60ghjfz8hngqt2","r0cb0@gmail.com",45,"INDOMIE RDG 91G","makanan pokok",1,3100,"2024-04-19","",110.435333994123,-0.772944942443175
"e2ct0upmnkow2vqrvkd057gn3cc6","ocid4@gmail.com",26,"POKKA GREEN TEA 450","soft drink",2,7300,"2024-02-26","",110.435333994123,-0.772944942443175
"z84rl5ykh4rriu9pzqb5ds1w3dij","ayqb9@gmail.com",26,"ULTRA FC 250 ML","soft drink",3,7500,"2024-02-03","",110.435333994123,-0.772944942443175
"x82c8ynwnhha0jreeliuskr41and","d7y2k@gmail.com",54,"GATSBY CLG. D/OCN. 175","personal hygiene",2,22000,"2024-05-24","",110.435333994123,-0.772944942443175
"bxgpeg6tx72l5y3kqljjqxtozgj3","f7nur@gmail.com",33,"LEMNRL AIR600ML","minuman sehat",3,3700,"2024-11-07","",110.435333994123,-0.772944942443175
"9ppqla8nfj5uu7jcur1k7xww4cw7","bjh7w@gmail.com",26,"NIPISMADU 330ML","soft drink",2,3900,"2024-06-02","",110.435333994123,-0.772944942443175
"0mh6qnyrb8fw7pb2xbzqt7jht8yw","ccjf3@gmail.com",15,"AQUA AIR MINERAL 1500","minuman sehat",4,6600,"2024-05-01","",110.435333994123,-0.772944942443175
"vyir226cwerooobauling8ku912f","hwokt@gmail.com",52,"S.BRD TA CHOCO FLAT","makanan manis",4,10000,"2024-05-19","",110.435333994123,-0.772944942443175
"6aflsuc6dmwt928qlgmnwiicibjh","hlx5t@gmail.com",54,"GATSBY CLG. D/OCN. 175","personal hygiene",3,22000,"2024-11-27","",110.435333994123,-0.772944942443175
"gtueph7xv8wdovbj6d56zlbzecrp","dftnq@gmail.com",58,"MD ALMOND RING","makanan manis",2,7500,"2024-11-22","",110.435333994123,-0.772944942443175
"p3jxyce9q19p2ifzt5gw0t8qnzh4","604oc@gmail.com",22,"GATSBY CLG. D/OCN. 175","personal hygiene",4,22000,"2024-12-16","",110.435333994123,-0.772944942443175
"oji8g2pume1ii74px1qhew1hu8n7","vrr6a@gmail.com",30,"POKKA GRN TEA NS 450","minuman sehat",3,10200,"2024-02-10","",110.435333994123,-0.772944942443175
"9hda6rww52k45ctytvysf6iwrlf3","g4po5@gmail.com",47,"SQ GREENTEA 22G","makanan manis",4,13400,"2024-12-25","",110.435333994123,-0.772944942443175
"672ck0dt9jg3kmrgr6tngy2lryfz","9y25u@gmail.com",30,"TEREA PRPL WAVE 20S","unknown",4,30000,"2024-05-18","",110.435333994123,-0.772944942443175
"riyzkh71obhb7ki1tlkyhfujmrvn","ylpyg@gmail.com",13,"GD GCPN 250ML","soft drink",1,7700,"2024-08-09","",110.435333994123,-0.772944942443175
"hvrlzw2bya8dxpnwr0uizcx4lvup","4juul@gmail.com",38,"CHUPA GUM FR11G","makanan manis",3,5500,"2024-03-23","",110.435333994123,-0.772944942443175
"wzbw22pbz3kbsbyqm6uxga2owc1f","3kqwp@gmail.com",30,"MD ALMOND RING","makanan manis",2,7500,"2024-01-02","",110.435333994123,-0.772944942443175
"6cz1lmufs3vcc10fcu155w108cnc","x4ky0@gmail.com",51,"SQ GREENTEA 22G","makanan manis",1,13400,"2024-02-11","",110.435333994123,-0.772944942443175
"srzjk8lwssugcsyu0v1xc0nwj6ea","rjitx@gmail.com",40,"GG SURYA CKT16","produk dewasa",3,36700,"2024-04-03","",110.435333994123,-0.772944942443175
